Date,Product,Units Sold,Unit Price,Total Revenue
2026-11-12,Product D,7,46.9,328.3
2026-06-16,Product B,5,27.19,135.95
2026-02-09,Product A,9,30.33,272.97
2026-10-29,Product D,2,44.69,89.38
2026-12-27,Product A,16,43.15,690.4
2026-06-22,Product C,4,47.24,188.96
2026-12-12,Product C,20,24.9,498.0
2026-04-23,Product D,2,12.35,24.7
2026-12-24,Product D,20,36.9,738.0
2026-07-15,Product C,20,31.25,625.0
2026-07-26,Product B,16,41.65,666.4
2026-03-12,Product D,17,34.02,578.34
2026-01-19,Product D,2,24.47,48.94
2026-04-09,Product C,18,17.85,321.3
2026-10-20,Product B,18,18.57,334.26
2026-04-16,Product A,4,13.66,54.64
2026-12-02,Product D,20,25.81,516.2
2026-01-30,Product A,11,19.49,214.39
2026-08-11,Product A,1,30.76,30.76
2026-02-19,Product B,10,33.77,337.7
2026-03-10,Product C,20,18.7,374.0
2026-04-01,Product B,17,26.1,443.7
2026-08-22,Product B,7,23.93,167.51
2026-06-02,Product C,16,47.65,762.4
2026-03-12,Product A,11,43.55,479.05
2026-02-02,Product D,7,35.11,245.77
2026-04-13,Product A,20,44.37,887.4
2026-05-12,Product C,17,43.55,740.35
2026-11-29,Product D,9,41.93,377.37
2026-03-14,Product C,11,23.82,262.02
2026-04-12,Product D,16,34.79,556.64
2026-01-10,Product C,16,48.56,776.96
2026-07-25,Product A,9,31.69,285.21
2026-01-11,Product D,8,26.51,212.08
2026-06-08,Product D,18,20.22,363.96
2026-08-18,Product A,2,49.1,98.2
2026-06-30,Product D,16,41.16,658.56
2026-12-03,Product D,11,33.19,365.09
2026-08-15,Product A,7,35.08,245.56
2026-10-14,Product B,7,44.57,311.99
2026-02-23,Product A,11,47.54,522.94
2026-03-26,Product D,4,29.82,119.28
2026-05-12,Product D,19,24.8,471.2
2026-12-27,Product C,19,45.27,860.13
2026-06-17,Product A,6,25.09,150.54
2026-06-15,Product C,14,26.49,370.86
2026-08-04,Product A,14,22.09,309.26
2026-01-30,Product A,2,41.7,83.4
2026-08-19,Product A,11,37.5,412.5
2026-09-07,Product D,3,27.49,82.47
2026-11-25,Product D,11,13.85,152.35
2026-11-30,Product D,12,30.31,363.72
2026-02-03,Product B,12,31.39,376.68
2026-06-12,Product D,2,18.23,36.46
2026-05-23,Product B,8,30.9,247.2
2026-03-12,Product B,4,21.25,85.0
2026-03-23,Product A,9,39.13,352.17
2026-06-01,Product C,4,26.97,107.88
2026-09-06,Product C,8,24.16,193.28
2026-01-05,Product B,12,19.64,235.68
2026-03-16,Product D,15,48.17,722.55
2026-02-26,Product D,12,39.25,471.0
2026-03-22,Product A,4,10.81,43.24
2026-05-12,Product A,6,42.41,254.46
2026-08-06,Product B,16,41.86,669.76
2026-07-12,Product D,5,11.18,55.9
2026-01-16,Product A,18,15.06,271.08
2026-03-19,Product B,14,18.27,255.78
2026-02-09,Product A,4,16.48,65.92
2026-01-12,Product D,14,14.51,203.14
2026-05-10,Product A,11,16.85,185.35
2026-12-24,Product A,18,15.71,282.78
2026-01-09,Product B,10,15.18,151.8
2026-03-20,Product D,6,15.49,92.94
2026-09-17,Product A,12,26.87,322.44
2026-06-07,Product B,5,33.36,166.8
2026-12-25,Product A,20,33.13,662.6
2026-08-25,Product A,19,16.82,319.58
2026-08-04,Product B,20,32.58,651.6
2026-12-13,Product D,4,38.14,152.56
2026-12-08,Product D,12,10.52,126.24
2026-03-26,Product A,10,26.72,267.2
2026-12-10,Product B,4,16.89,67.56
2026-09-12,Product B,19,11.97,227.43
2026-12-01,Product A,1,16.89,16.89
2026-12-31,Product D,6,34.26,205.56
2026-07-03,Product D,1,41.33,41.33
2026-08-06,Product D,9,26.53,238.77
2026-04-11,Product B,17,15.54,264.18
2026-04-13,Product D,8,34.15,273.2
2026-05-12,Product B,6,47.38,284.28
2026-05-05,Product C,18,26.67,480.06
2026-09-19,Product B,12,44.98,539.76
2026-01-18,Product C,6,46.3,277.8
2026-04-21,Product A,3,43.81,131.43
2026-05-29,Product A,9,41.76,375.84
2026-04-13,Product C,8,47.65,381.2
2026-05-14,Product A,18,26.5,477.0
2026-02-19,Product A,7,26.23,183.61
2026-01-24,Product B,18,13.36,240.48
